ACCOUNT_STATUS,SERVICE__PLAN,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,STATE,FEEDBACK,SATELLITE,SITE_TYPE_DESC,MOST_RECENT_SALES_CHANNEL,GENDER,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,Y,,,,,,
Active,Pro,Retail/others,Indirect,InfoDish, TX,BAD,AM9-HOR-21K,Spaceway,DW6000 Upgrade,Female,28,4,0,Unkown,N,0,,,,,,
Active,Unknown,Uknown,Indirect,TAG, OR,Unkown,G17-HOR-2K,Broadband Remote,Direct,Female,74,3,1,1,N,0,,,,,,
Active,Elite,Retail/others,Direct,Hughes Web Order, AR,BAD,SM5-VER-15K,Broadband Remote,HN7000 Upgrade,Female,38,6,1,1,Y,0,,,,,,
Active,Unknown,Retail/others,Direct,TAG, KS,GOOD,SM5-VER-5K,Spaceway,HN7000 Upgrade,Male,58,1,0,0,N,0,,,,,,
Active,Unknown,Uknown,Indirect,NCC, TX,GOOD,HZN2-VER-4K,Broadband Remote,HN7000 Upgrade,Male,32,5,0,Unkown,N,0,,,,,,
Active,Basic_Ltd,Uknown,Indirect,Hughes Web Order, MO,BAD,SM5-VER-1K,Broadband Remote,Retail       ,Male,42,0,1,0,Y,0,,,,,,
Active,Elite,Sales Agents,Indirect,ACS Pre-Install, VA,BAD,SM5-VER-15K,Broadband Remote,HN7000 Upgrade,Male,66,0,1,0,Unknown,0,,,,,,
Active,Proplus,Uknown,Indirect,RS&I, VA,GOOD,SM5-HOR-14K,Spaceway,Retail       ,Female,56,0,0,Unkown,Unknown,0,,,,,,
Active,Unknown,Web orders,Indirect,LiveBridge Communications LLC, CA,BAD,SM5-VER-1K,Broadband Remote,National Sales,Female,23,1,0,Unkown,N,0,,,,,,
Active,Pro,Uknown,Direct,RS&I, AZ,GOOD,AM6-HOR-21K,Broadband Remote,Dial Return Upgrade,Male,52,9,1,0,N,0,,,,,,
Active,Proplus,Sales Agents,Direct,RS&I, NM,GOOD,HZN-VER-6K,Broadband Remote,National Sales,Female,41,7,0,0,N,0,,,,,,
Active,Pro,Uknown,Indirect,InfoDish, IL,BAD,AM6-HOR-21K,Broadband Remote,DW6000 Upgrade,Male,31,9,1,1,Unknown,0,,,,,,
Active,Home,Call Center,Direct,NCC, KY,GOOD,SM5-HOR-14K,Broadband Remote,Dealer-Generated Sale,Male,33,0,0,0,Y,0,,,,,,
Active,Power150,Sales Agents,Indirect,AmericanSat, MD,GOOD,SM5-VER-1K,Broadband Remote,DPC Classic upgrade,Female,58,7,1,0,N,0,,,,,,
Active,Basic_Ltd,Retail/others,Indirect,UNKNOWN, MO,GOOD,G17-HOR-6K,Broadband Remote,Direct,Male,46,0,1,0,N,0,,,,,,
Active,Unknown,Uknown,Indirect,Verisign Web Ordering, MD,GOOD,SPACEWAY3,Broadband Remote,DW6000 Upgrade,Male,52,0,0,0,Unknown,0,,,,,,
Active,Home,Vars,Indirect,Perfect 10, DE,GOOD,AM9-HOR-21K,Broadband Remote,HN9000 Upgrade,Male,48,7,0,Unkown,N,0,,,,,,
Active,Pro,Vars,Indirect,Skylink, MS,GOOD,SM5-HOR-6K,Broadband Remote,HN9000 Upgrade,Male,41,0,2,1,Y,0,,,,,,
